case_id	split	question	expected_primary_domain	predicted_primary_domain	primary_correct	expected_secondary_domains	predicted_secondary_domains	secondary_hit_count	secondary_expected_count	required_signals	predicted_signals	signal_hit_count	signal_expected_count	expected_stage	predicted_stage	stage_correct	required_requested_outputs	predicted_requested_outputs	requested_output_hit_count	requested_output_expected_count	expected_should_clarify	predicted_should_clarify	ambiguity_correct	clarification_question	search_query_count	search_queries	forbidden_dominant_topics	note
D033	development	차량이 작업자를 칠 뻔했어. 즉시 조치랑 보고 기록 순서 알려줘	차량·장비·후진·충돌	차량·장비·후진·충돌	1	"[""사고보고·기록·중대재해 대응""]"	"[""사고보고·기록·중대재해 대응""]"	1	1	"[""차량"", ""충돌""]"	"[""차량"", ""충돌"", ""사고"", ""기록""]"	2	2	사고 발생 직후	사고 발생 직후	1	"[""즉시 조치"", ""보고 대상"", ""기록관리""]"	"[""조치 순서"", ""즉시 조치"", ""보고 대상"", ""기록관리""]"	3	3	0	0	1		3	"[""차량이 작업자를 칠 뻔했어. 즉시 조치랑 보고 기록 순서 알려줘"", ""차량·장비·후진·충돌 사고보고·기록·중대재해 대응 차량 충돌 사고 기록 사고 발생 직후"", ""차량·장비·후진·충돌 차량 충돌 사고 기록 작업중지 대피 출입통제 보고 점검 개선조치 작업 재개 승인 기록 점검 조치 보고 작업 재개 승인 기록""]"	[]	아차사고 복합
D034	development	후진경고음 고장난 장비 계속 운행 가능? 관련 근거도 알려줘	차량·장비·후진·충돌	차량·장비·후진·충돌	1	[]	[]	0	0	"[""후진"", ""장비""]"	"[""장비"", ""후진""]"	2	2	작업 전	작업 전	1	"[""작업 가능 여부 판단"", ""공식 법령·지침 근거""]"	"[""공식 법령·지침 근거"", ""작업 가능 여부 판단"", ""작업 재개 조건"", ""작업중지 여부""]"	2	2	0	1	0	장비가 운전 중인지와 작업자가 접근하려는 위치는 어디입니까?	4	"[""후진경고음 고장난 장비 계속 운행 가능? 관련 근거도 알려줘"", ""차량·장비·후진·충돌 장비 후진 작업 전"", ""차량·장비·후진·충돌 장비 후진 공식 법령 지침 근거 문서 chunk_id 위험 제거 재측정 책임자 확인 작업 재개 승인"", ""차량·장비·후진·충돌 장비 후진 공식 법령 지침""]"	[]	근거 요청
D035	development	장비 충돌 사례를 TBM에서 어떤 예방수칙으로 공유해야 하나?	차량·장비·후진·충돌	차량·장비·후진·충돌	1	"[""TBM·굴진·천공""]"	"[""TBM·굴진·천공""]"	1	1	"[""충돌"", ""장비""]"	"[""장비"", ""충돌"", ""TBM"", ""작업 전 공유""]"	2	2	교육·회의 단계	교육·회의 단계	1	"[""공식 사고사례"", ""교육·TBM 공유사항""]"	"[""교육·TBM 공유사항"", ""예방대책"", ""공식 사고사례""]"	2	2	0	1	0	장비가 운전 중인지와 작업자가 접근하려는 위치는 어디입니까?	4	"[""장비 충돌 사례를 TBM에서 어떤 예방수칙으로 공유해야 하나?"", ""차량·장비·후진·충돌 TBM·굴진·천공 장비 충돌 TBM 작업 전 공유 교육·회의 단계"", ""차량·장비·후진·충돌 장비 충돌 TBM 작업 전 공유 위험 예방대책 개선조치"", ""차량·장비·후진·충돌 장비 충돌 TBM 작업 전 공유 공식 사고사례""]"	[]	사례 교육
D036	development	운반차량이 미끄러진 뒤 재운행하려면 무엇을 점검하고 누가 확인해?	차량·장비·후진·충돌	차량·장비·후진·충돌	1	[]	[]	0	0	"[""차량""]"	"[""차량"", ""작업 재개""]"	1	1	작업 재개 전	작업 재개 전	1	"[""작업 재개 조건"", ""점검항목"", ""사업주·관리자 대응""]"	"[""점검항목"", ""작업 재개 조건"", ""사업주·관리자 대응"", ""작업 가능 여부 판단"", ""작업중지 여부""]"	3	3	0	0	1		3	"[""운반차량이 미끄러진 뒤 재운행하려면 무엇을 점검하고 누가 확인해?"", ""차량·장비·후진·충돌 차량 작업 재개 작업 재개 전"", ""차량·장비·후진·충돌 차량 작업 재개 안전 점검 확인사항 위험 제거 재측정 책임자 확인 작업 재개 승인""]"	[]	재개 조건
D037	development	천공 중 분진이 심해지면 집진과 살수, 호흡보호구를 어떻게 점검해야 하나?	분진·집진·살수·호흡보호	분진·집진·살수·호흡보호	1	"[""TBM·굴진·천공""]"	"[""보호구 지급·파손·미착용"", ""TBM·굴진·천공""]"	1	1	"[""분진"", ""집진"", ""살수"", ""호흡보호구""]"	"[""분진"", ""집진"", ""살수"", ""호흡보호구"", ""보호구"", ""천공""]"	4	4	작업 중	작업 중	1	"[""점검항목"", ""보호구""]"	"[""점검항목"", ""보호구""]"	2	2	0	0	1		3	"[""천공 중 분진이 심해지면 집진과 살수, 호흡보호구를 어떻게 점검해야 하나?"", ""분진·집진·살수·호흡보호 보호구 지급·파손·미착용 TBM·굴진·천공 분진 집진 살수 호흡보호구 보호구 천공 작업 중"", ""분진·집진·살수·호흡보호 분진 집진 살수 호흡보호구 보호구 천공 안전 점검 확인사항""]"	[]	복합 위험
D038	development	먼지 너무 많아서 앞이 안 보임 계속 일해?	분진·집진·살수·호흡보호	분진·집진·살수·호흡보호	1	[]	[]	0	0	"[""분진"", ""시야 저하""]"	"[""분진"", ""시야 저하""]"	2	2	이상징후 발견 직후	이상징후 발견 직후	1	"[""작업중지 여부"", ""작업 가능 여부 판단""]"	"[""작업중지 여부"", ""작업 가능 여부 판단"", ""작업 재개 조건""]"	2	2	0	0	1		3	"[""먼지 너무 많아서 앞이 안 보임 계속 일해?"", ""분진·집진·살수·호흡보호 분진 시야 저하 이상징후 발견 직후"", ""분진·집진·살수·호흡보호 분진 시야 저하 위험 제거 재측정 책임자 확인 작업 재개 승인""]"	[]	구어체
D039	development	집진기 정비전에 뭘 차단하고 마스크는 어떤 상태를 봐야 해?	분진·집진·살수·호흡보호	분진·집진·살수·호흡보호	1	"[""전기·감전·LOTO""]"	"[""보호구 지급·파손·미착용""]"	0	1	"[""집진"", ""호흡보호구"", ""정비""]"	"[""정비"", ""집진"", ""호흡보호구"", ""보호구""]"	3	3	점검·정비 전	점검·정비 전	1	"[""조치 순서"", ""보호구""]"	"[""조치 순서"", ""점검항목"", ""보호구""]"	2	2	0	0	1		3	"[""집진기 정비전에 뭘 차단하고 마스크는 어떤 상태를 봐야 해?"", ""분진·집진·살수·호흡보호 보호구 지급·파손·미착용 정비 집진 호흡보호구 보호구 점검·정비 전"", ""분진·집진·살수·호흡보호 정비 집진 호흡보호구 보호구 작업중지 대피 출입통제 보고 점검 개선조치 작업 재개 승인 기록 안전 점검 확인사항""]"	[]	정비 전
D040	development	분진이 왜 위험한지와 예방대책, 법적 근거를 같이 알려줘	분진·집진·살수·호흡보호	분진·집진·살수·호흡보호	1	[]	[]	0	0	"[""분진""]"	"[""분진""]"	1	1	불명확	불명확	1	"[""위험 원인"", ""예방대책"", ""공식 법령·지침 근거""]"	"[""위험 원인"", ""공식 법령·지침 근거"", ""예방대책""]"	3	3	0	0	1		4	"[""분진이 왜 위험한지와 예방대책, 법적 근거를 같이 알려줘"", ""분진·집진·살수·호흡보호 분진 불명확"", ""분진·집진·살수·호흡보호 분진 공식 법령 지침 근거 문서 chunk_id 위험 예방대책 개선조치"", ""분진·집진·살수·호흡보호 분진 공식 법령 지침""]"	[]	복수 요청
D041	development	먼지가 난다는데 발생 위치랑 작업이 뭔지는 몰라. 먼저 뭐 확인함?	분진·집진·살수·호흡보호	분진·집진·살수·호흡보호	1	[]	[]	0	0	"[""분진""]"	"[""분진""]"	1	1	이상징후 발견 직후	이상징후 발견 직후	1	"[""점검항목"", ""즉시 조치""]"	"[""즉시 조치"", ""점검항목""]"	2	2	1	1	1	분진의 발생 위치와 현재 집진·살수 작동 상태는 어떻습니까?	3	"[""먼지가 난다는데 발생 위치랑 작업이 뭔지는 몰라. 먼저 뭐 확인함?"", ""분진·집진·살수·호흡보호 분진 이상징후 발견 직후"", ""분진·집진·살수·호흡보호 분진 안전 점검 확인사항""]"	[]	발생원 모호
D042	development	분진 사고와 비슷한 사례를 보여주고 TBM 기록 항목도 정리해 줘	분진·집진·살수·호흡보호	분진·집진·살수·호흡보호	1	"[""TBM·굴진·천공""]"	"[""사고보고·기록·중대재해 대응"", ""TBM·굴진·천공""]"	1	1	"[""분진""]"	"[""분진"", ""사고"", ""TBM"", ""작업 전 공유"", ""기록""]"	1	1	교육·회의 단계	교육·회의 단계	1	"[""유사 위험 사례"", ""교육·TBM 공유사항"", ""기록관리""]"	"[""기록관리"", ""공식 사고사례"", ""유사 위험 사례"", ""교육·TBM 공유사항""]"	3	3	0	0	1		4	"[""분진 사고와 비슷한 사례를 보여주고 TBM 기록 항목도 정리해 줘"", ""분진·집진·살수·호흡보호 사고보고·기록·중대재해 대응 TBM·굴진·천공 분진 사고 TBM 작업 전 공유 기록 교육·회의 단계"", ""분진·집진·살수·호흡보호 분진 사고 TBM 작업 전 공유 기록 점검 조치 보고 작업 재개 승인 기록"", ""분진·집진·살수·호흡보호 분진 사고 TBM 작업 전 공유 기록 공식 사고사례""]"	[]	사례 기록
D043	development	안전모가 깨졌는데 새 보호구 지급 전까지 써도 되나?	보호구 지급·파손·미착용	보호구 지급·파손·미착용	1	[]	[]	0	0	"[""보호구"", ""파손"", ""교체""]"	"[""보호구"", ""파손"", ""지급"", ""교체""]"	3	3	작업 전	작업 전	1	"[""작업 가능 여부 판단"", ""보호구""]"	"[""보호구"", ""작업 가능 여부 판단"", ""작업중지 여부""]"	2	2	0	0	1		2	"[""안전모가 깨졌는데 새 보호구 지급 전까지 써도 되나?"", ""보호구 지급·파손·미착용 보호구 파손 지급 교체 작업 전""]"	[]	파손 보호구
D044	development	마스크 안 썼어 뭐부터 해야해	보호구 지급·파손·미착용	보호구 지급·파손·미착용	1	[]	[]	0	0	"[""보호구"", ""미착용""]"	"[""보호구"", ""미착용""]"	2	2	작업 중	작업 중	1	"[""즉시 조치"", ""조치 순서""]"	"[""조치 순서"", ""보호구"", ""즉시 조치""]"	2	2	1	1	1	마스크가 필요한 작업의 분진·가스 등 주요 노출 위험은 무엇입니까?	3	"[""마스크 안 썼어 뭐부터 해야해"", ""보호구 지급·파손·미착용 보호구 미착용 작업 중"", ""보호구 지급·파손·미착용 보호구 미착용 작업중지 대피 출입통제 보고 점검 개선조치 작업 재개 승인 기록""]"	[]	작업 위험 모호
D045	development	관리자는 보호구 지급과 착용 교육, 교체 기록을 어떻게 관리해야 하나?	보호구 지급·파손·미착용	보호구 지급·파손·미착용	1	"[""사고보고·기록·중대재해 대응""]"	"[""사고보고·기록·중대재해 대응""]"	1	1	"[""보호구"", ""지급"", ""교체""]"	"[""보호구"", ""지급"", ""교체"", ""기록""]"	3	3	교육·회의 단계	교육·회의 단계	1	"[""사업주·관리자 대응"", ""기록관리"", ""교육·TBM 공유사항""]"	"[""보호구"", ""기록관리"", ""교육·TBM 공유사항"", ""사업주·관리자 대응"", ""작업 가능 여부 판단""]"	3	3	0	0	1		3	"[""관리자는 보호구 지급과 착용 교육, 교체 기록을 어떻게 관리해야 하나?"", ""보호구 지급·파손·미착용 사고보고·기록·중대재해 대응 보호구 지급 교체 기록 교육·회의 단계"", ""보호구 지급·파손·미착용 보호구 지급 교체 기록 점검 조치 보고 작업 재개 승인 기록""]"	[]	관리자 요청
D046	development	작업에 맞는 보호구 적합성은 뭘 보고 고름? 근거도 궁금해	보호구 지급·파손·미착용	보호구 지급·파손·미착용	1	[]	[]	0	0	"[""보호구"", ""적합성""]"	"[""보호구"", ""적합성""]"	2	2	작업 전	작업 전	1	"[""점검항목"", ""공식 법령·지침 근거""]"	"[""점검항목"", ""보호구"", ""보고 대상"", ""공식 법령·지침 근거""]"	2	2	0	0	1		4	"[""작업에 맞는 보호구 적합성은 뭘 보고 고름? 근거도 궁금해"", ""보호구 지급·파손·미착용 보호구 적합성 작업 전"", ""보호구 지급·파손·미착용 보호구 적합성 안전 점검 확인사항 공식 법령 지침 근거 문서 chunk_id"", ""보호구 지급·파손·미착용 보호구 적합성 공식 법령 지침""]"	[]	선정 근거
D047	development	보호구가 불편하다는 말만 있는데 어떤 작업용인지 모름. 그냥 교체해 줘야 해?	보호구 지급·파손·미착용	보호구 지급·파손·미착용	1	[]	[]	0	0	"[""보호구"", ""교체""]"	"[""보호구"", ""교체""]"	2	2	불명확	불명확	1	"[""사업주·관리자 대응"", ""작업 가능 여부 판단""]"	"[""보호구"", ""사업주·관리자 대응"", ""작업 가능 여부 판단""]"	2	2	1	1	1	문제가 된 보호구 종류와 해당 작업의 주요 위험은 무엇입니까?	2	"[""보호구가 불편하다는 말만 있는데 어떤 작업용인지 모름. 그냥 교체해 줘야 해?"", ""보호구 지급·파손·미착용 보호구 교체 불명확""]"	[]	보호구 종류 모호
D048	development	보호구 미착용으로 난 실제 사고사례와 예방대책 알려줘	보호구 지급·파손·미착용	보호구 지급·파손·미착용	1	[]	[]	0	0	"[""보호구"", ""미착용""]"	"[""보호구"", ""미착용"", ""사고""]"	2	2	교육·회의 단계	교육·회의 단계	1	"[""공식 사고사례"", ""예방대책""]"	"[""보호구"", ""공식 사고사례"", ""예방대책""]"	2	2	0	0	1		4	"[""보호구 미착용으로 난 실제 사고사례와 예방대책 알려줘"", ""보호구 지급·파손·미착용 보호구 미착용 사고 교육·회의 단계"", ""보호구 지급·파손·미착용 보호구 미착용 사고 위험 예방대책 개선조치"", ""보호구 지급·파손·미착용 보호구 미착용 사고 공식 사고사례""]"	[]	사례 요청
D049	development	새 작업을 시작하기 전 위험성평가는 어떤 순서로 하고 무엇을 기록하나?	위험성평가·작업중지·작업재개	위험성평가·작업중지·작업재개	1	[]	"[""사고보고·기록·중대재해 대응""]"	0	0	"[""위험성평가"", ""변경 작업""]"	"[""위험성평가"", ""변경 작업"", ""변경사항"", ""기록""]"	2	2	작업 전	작업 전	1	"[""조치 순서"", ""기록관리""]"	"[""조치 순서"", ""기록관리"", ""점검항목""]"	2	2	0	0	1		3	"[""새 작업을 시작하기 전 위험성평가는 어떤 순서로 하고 무엇을 기록하나?"", ""위험성평가·작업중지·작업재개 사고보고·기록·중대재해 대응 위험성평가 변경 작업 변경사항 기록 작업 전"", ""위험성평가·작업중지·작업재개 위험성평가 변경 작업 변경사항 기록 작업중지 대피 출입통제 보고 점검 개선조치 작업 재개 승인 기록 점검 조치 보고 작업 재개 승인 기록 안전 점검 확인사항""]"	[]	정식 문장
D050	development	위험한 것 같은데 계속해도 됨?	위험성평가·작업중지·작업재개	위험성평가·작업중지·작업재개	1	[]	[]	0	0	"[""작업중지""]"	"[""작업중지""]"	1	1	작업 중	작업 중	1	"[""작업 가능 여부 판단"", ""작업중지 여부""]"	"[""작업중지 여부"", ""작업 재개 조건"", ""작업 가능 여부 판단""]"	2	2	1	1	1	작업을 중지하거나 재개하려는 장소에서 확인된 구체적인 이상 징후는 무엇입니까?	3	"[""위험한 것 같은데 계속해도 됨?"", ""위험성평가·작업중지·작업재개 작업중지 작업 중"", ""위험성평가·작업중지·작업재개 작업중지 위험 제거 재측정 책임자 확인 작업 재개 승인""]"	[]	위험 종류 모호
D051	development	작업중지 뒤 위험을 제거했으면 재개 조건과 승인 기록은 어떻게 남겨?	위험성평가·작업중지·작업재개	위험성평가·작업중지·작업재개	1	"[""사고보고·기록·중대재해 대응""]"	"[""사고보고·기록·중대재해 대응""]"	1	1	"[""작업중지"", ""작업 재개""]"	"[""작업중지"", ""작업 재개"", ""기록""]"	2	2	작업 재개 전	작업 재개 전	1	"[""작업 재개 조건"", ""기록관리""]"	"[""작업중지 여부"", ""작업 재개 조건"", ""기록관리""]"	2	2	0	0	1		3	"[""작업중지 뒤 위험을 제거했으면 재개 조건과 승인 기록은 어떻게 남겨?"", ""위험성평가·작업중지·작업재개 사고보고·기록·중대재해 대응 작업중지 작업 재개 기록 작업 재개 전"", ""위험성평가·작업중지·작업재개 작업중지 작업 재개 기록 위험 제거 재측정 책임자 확인 작업 재개 승인 점검 조치 보고 작업 재개 승인 기록""]"	[]	재개 기록
D052	development	작업 방법이 바뀌었는데 기존 위험성평가 그대로 써도 되는지 근거를 알려줘	위험성평가·작업중지·작업재개	위험성평가·작업중지·작업재개	1	[]	[]	0	0	"[""위험성평가"", ""변경 작업""]"	"[""위험성평가"", ""변경 작업"", ""변경사항""]"	2	2	작업 전	작업 전	1	"[""작업 가능 여부 판단"", ""공식 법령·지침 근거""]"	"[""공식 법령·지침 근거"", ""작업 가능 여부 판단"", ""작업중지 여부""]"	2	2	0	0	1		4	"[""작업 방법이 바뀌었는데 기존 위험성평가 그대로 써도 되는지 근거를 알려줘"", ""위험성평가·작업중지·작업재개 위험성평가 변경 작업 변경사항 작업 전"", ""위험성평가·작업중지·작업재개 위험성평가 변경 작업 변경사항 공식 법령 지침 근거 문서 chunk_id"", ""위험성평가·작업중지·작업재개 위험성평가 변경 작업 변경사항 공식 법령 지침""]"	[]	변경 작업
D053	development	관리자가 급박한 위험을 보고도 작업중지를 안 하면 왜 위험하고 뭘 해야 하나?	위험성평가·작업중지·작업재개	위험성평가·작업중지·작업재개	1	[]	[]	0	0	"[""작업중지""]"	"[""작업중지""]"	1	1	이상징후 발견 직후	이상징후 발견 직후	1	"[""위험 원인"", ""사업주·관리자 대응"", ""즉시 조치""]"	"[""즉시 조치"", ""위험 원인"", ""작업중지 여부"", ""보고 대상"", ""사업주·관리자 대응""]"	3	3	0	1	0	작업을 중지하거나 재개하려는 장소에서 확인된 구체적인 이상 징후는 무엇입니까?	2	"[""관리자가 급박한 위험을 보고도 작업중지를 안 하면 왜 위험하고 뭘 해야 하나?"", ""위험성평가·작업중지·작업재개 작업중지 이상징후 발견 직후""]"	[]	관리자 대응
D054	development	작업중지 사례를 TBM에서 어떤 순서와 예방대책으로 공유하지?	위험성평가·작업중지·작업재개	위험성평가·작업중지·작업재개	1	"[""TBM·굴진·천공""]"	"[""TBM·굴진·천공""]"	1	1	"[""작업중지""]"	"[""작업중지"", ""TBM"", ""작업 전 공유""]"	1	1	교육·회의 단계	교육·회의 단계	1	"[""유사 위험 사례"", ""교육·TBM 공유사항"", ""예방대책""]"	"[""조치 순서"", ""작업중지 여부"", ""유사 위험 사례"", ""교육·TBM 공유사항"", ""예방대책"", ""공식 사고사례""]"	3	3	0	0	1		4	"[""작업중지 사례를 TBM에서 어떤 순서와 예방대책으로 공유하지?"", ""위험성평가·작업중지·작업재개 TBM·굴진·천공 작업중지 TBM 작업 전 공유 교육·회의 단계"", ""위험성평가·작업중지·작업재개 작업중지 TBM 작업 전 공유 작업중지 대피 출입통제 보고 점검 개선조치 작업 재개 승인 기록 위험 예방대책 개선조치"", ""위험성평가·작업중지·작업재개 작업중지 TBM 작업 전 공유 공식 사고사례""]"	[]	교육 사례
D055	development	갱내에서 작업자가 의식을 잃으면 구조자는 어떤 순서로 응급조치해야 하나?	응급조치·의식상실·구조	응급조치·의식상실·구조	1	[]	[]	0	0	"[""의식상실"", ""구조"", ""응급조치""]"	"[""의식상실"", ""응급조치"", ""구조"", ""2차 위험""]"	3	3	사고 발생 직후	사고 발생 직후	1	"[""조치 순서"", ""즉시 조치""]"	"[""조치 순서"", ""즉시 조치""]"	2	2	0	0	1		3	"[""갱내에서 작업자가 의식을 잃으면 구조자는 어떤 순서로 응급조치해야 하나?"", ""응급조치·의식상실·구조 의식상실 응급조치 구조 2차 위험 사고 발생 직후"", ""응급조치·의식상실·구조 의식상실 응급조치 구조 2차 위험 작업중지 대피 출입통제 보고 점검 개선조치 작업 재개 승인 기록""]"	[]	정식 응급
D056	development	사람 쓰러짐 바로 들어가서 데려오면 돼?	응급조치·의식상실·구조	응급조치·의식상실·구조	1	[]	[]	0	0	"[""의식상실"", ""구조"", ""2차 위험""]"	"[""의식상실"", ""구조"", ""2차 위험"", ""사고""]"	3	3	사고 발생 직후	사고 발생 직후	1	"[""작업 가능 여부 판단"", ""즉시 조치""]"	"[""즉시 조치"", ""작업 가능 여부 판단""]"	2	2	1	1	1	부상자의 의식·호흡 상태와 구조 장소의 2차 위험 유무는 어떻습니까?	2	"[""사람 쓰러짐 바로 들어가서 데려오면 돼?"", ""응급조치·의식상실·구조 의식상실 구조 2차 위험 사고 사고 발생 직후""]"	[]	원인 환경 모호
D057	development	감전된 사람 구조 전 전원 차단과 2차 위험 확인, 보고 순서가 궁금해	응급조치·의식상실·구조	응급조치·의식상실·구조	1	"[""전기·감전·LOTO""]"	"[""전기·감전·LOTO""]"	1	1	"[""감전"", ""구조"", ""2차 위험""]"	"[""전기설비"", ""전원 차단"", ""감전"", ""구조"", ""2차 위험"", ""사고보고""]"	3	3	사고 발생 직후	사고 발생 직후	1	"[""조치 순서"", ""보고 대상""]"	"[""조치 순서"", ""점검항목"", ""보고 대상"", ""즉시 조치""]"	2	2	0	0	1		3	"[""감전된 사람 구조 전 전원 차단과 2차 위험 확인, 보고 순서가 궁금해"", ""응급조치·의식상실·구조 전기·감전·LOTO 전기설비 전원 차단 감전 구조 2차 위험 사고보고 사고 발생 직후"", ""응급조치·의식상실·구조 전기설비 전원 차단 감전 구조 2차 위험 사고보고 작업중지 대피 출입통제 보고 점검 개선조치 작업 재개 승인 기록 안전 점검 확인사항""]"	[]	전기 복합
D058	development	응급조치 후 현장 기록이랑 실제 사고 사례도 같이 알려줘	응급조치·의식상실·구조	응급조치·의식상실·구조	1	"[""사고보고·기록·중대재해 대응""]"	"[""사고보고·기록·중대재해 대응""]"	1	1	"[""응급조치"", ""사고""]"	"[""응급조치"", ""사고"", ""기록""]"	2	2	사고 발생 직후	사고 발생 직후	1	"[""기록관리"", ""공식 사고사례""]"	"[""기록관리"", ""공식 사고사례""]"	2	2	0	0	1		4	"[""응급조치 후 현장 기록이랑 실제 사고 사례도 같이 알려줘"", ""응급조치·의식상실·구조 사고보고·기록·중대재해 대응 응급조치 사고 기록 사고 발생 직후"", ""응급조치·의식상실·구조 응급조치 사고 기록 점검 조치 보고 작업 재개 승인 기록"", ""응급조치·의식상실·구조 응급조치 사고 기록 공식 사고사례""]"	[]	사례 기록
D059	development	다쳤다는데 어디를 얼마나 다쳤는지 모름. 먼저 뭘 물어보고 해야 함?	응급조치·의식상실·구조	응급조치·의식상실·구조	1	[]	[]	0	0	"[""응급조치""]"	"[""응급조치"", ""사고""]"	1	1	사고 발생 직후	사고 발생 직후	1	"[""즉시 조치"", ""점검항목""]"	"[""조치 순서"", ""즉시 조치"", ""보고 대상"", ""점검항목""]"	2	2	1	1	1	부상자의 의식·호흡 상태와 구조 장소의 2차 위험 유무는 어떻습니까?	3	"[""다쳤다는데 어디를 얼마나 다쳤는지 모름. 먼저 뭘 물어보고 해야 함?"", ""응급조치·의식상실·구조 응급조치 사고 사고 발생 직후"", ""응급조치·의식상실·구조 응급조치 사고 작업중지 대피 출입통제 보고 점검 개선조치 작업 재개 승인 기록 안전 점검 확인사항""]"	[]	상태 모호
D060	development	구조 작업이 왜 위험한지와 구조자 보호구·예방대책의 공식 근거는?	응급조치·의식상실·구조	응급조치·의식상실·구조	1	"[""보호구 지급·파손·미착용""]"	"[""보호구 지급·파손·미착용""]"	1	1	"[""구조"", ""2차 위험""]"	"[""보호구"", ""구조"", ""2차 위험""]"	2	2	교육·회의 단계	교육·회의 단계	1	"[""위험 원인"", ""보호구"", ""예방대책"", ""공식 법령·지침 근거""]"	"[""위험 원인"", ""보호구"", ""공식 법령·지침 근거"", ""예방대책""]"	4	4	0	0	1		4	"[""구조 작업이 왜 위험한지와 구조자 보호구·예방대책의 공식 근거는?"", ""응급조치·의식상실·구조 보호구 지급·파손·미착용 보호구 구조 2차 위험 교육·회의 단계"", ""응급조치·의식상실·구조 보호구 구조 2차 위험 공식 법령 지침 근거 문서 chunk_id 위험 예방대책 개선조치"", ""응급조치·의식상실·구조 보호구 구조 2차 위험 공식 법령 지침""]"	[]	교육 근거
D061	development	굴진 작업 전 TBM에서 천공 위험과 대피 방법을 무엇부터 공유해야 하나?	TBM·굴진·천공	TBM·굴진·천공	1	[]	[]	0	0	"[""TBM"", ""굴진"", ""천공"", ""작업 전 공유""]"	"[""TBM"", ""작업 전 공유"", ""굴진"", ""천공""]"	4	4	교육·회의 단계	교육·회의 단계	1	"[""교육·TBM 공유사항"", ""조치 순서""]"	"[""조치 순서"", ""대피·출입통제"", ""교육·TBM 공유사항"", ""점검항목""]"	2	2	0	0	1		3	"[""굴진 작업 전 TBM에서 천공 위험과 대피 방법을 무엇부터 공유해야 하나?"", ""TBM·굴진·천공 TBM 작업 전 공유 굴진 천공 교육·회의 단계"", ""TBM·굴진·천공 TBM 작업 전 공유 굴진 천공 작업중지 대피 출입통제 보고 점검 개선조치 작업 재개 승인 기록 안전 점검 확인사항""]"	[]	TBM 정식
D062	development	오늘 천공 위치 바뀜 TBM 다시 해야 해?	TBM·굴진·천공	TBM·굴진·천공	1	"[""위험성평가·작업중지·작업재개""]"	[]	0	1	"[""천공"", ""변경사항"", ""TBM""]"	"[""변경 작업"", ""변경사항"", ""TBM"", ""작업 전 공유"", ""천공""]"	3	3	작업 전	작업 전	1	"[""작업 가능 여부 판단"", ""교육·TBM 공유사항""]"	"[""교육·TBM 공유사항"", ""작업 가능 여부 판단"", ""작업 재개 조건""]"	2	2	0	0	1		3	"[""오늘 천공 위치 바뀜 TBM 다시 해야 해?"", ""TBM·굴진·천공 변경 작업 변경사항 TBM 작업 전 공유 천공 작업 전"", ""TBM·굴진·천공 변경 작업 변경사항 TBM 작업 전 공유 천공 위험 제거 재측정 책임자 확인 작업 재개 승인""]"	[]	변경 작업
D063	development	굴진중 천반 상태가 달라졌는데 작업자 지시와 점검 순서 알려줘	TBM·굴진·천공	TBM·굴진·천공	1	"[""낙반·붕괴·천반·지보""]"	"[""낙반·붕괴·천반·지보""]"	1	1	"[""굴진"", ""천반"", ""변경사항""]"	"[""천반"", ""변경 작업"", ""변경사항"", ""굴진""]"	3	3	작업 중	작업 중	1	"[""사업주·관리자 대응"", ""조치 순서"", ""점검항목""]"	"[""조치 순서"", ""점검항목"", ""사업주·관리자 대응""]"	3	3	0	0	1		3	"[""굴진중 천반 상태가 달라졌는데 작업자 지시와 점검 순서 알려줘"", ""TBM·굴진·천공 낙반·붕괴·천반·지보 천반 변경 작업 변경사항 굴진 작업 중"", ""TBM·굴진·천공 천반 변경 작업 변경사항 굴진 작업중지 대피 출입통제 보고 점검 개선조치 작업 재개 승인 기록 안전 점검 확인사항""]"	[]	천반 복합
D064	development	TBM 기록에 참석자 말고 어떤 위험과 조치를 남겨야 함? 근거도 알려줘	TBM·굴진·천공	TBM·굴진·천공	1	"[""사고보고·기록·중대재해 대응""]"	"[""사고보고·기록·중대재해 대응""]"	1	1	"[""TBM"", ""작업 전 공유""]"	"[""TBM"", ""작업 전 공유"", ""기록""]"	2	2	교육·회의 단계	교육·회의 단계	1	"[""기록관리"", ""공식 법령·지침 근거""]"	"[""기록관리"", ""공식 법령·지침 근거"", ""교육·TBM 공유사항""]"	2	2	0	0	1		4	"[""TBM 기록에 참석자 말고 어떤 위험과 조치를 남겨야 함? 근거도 알려줘"", ""TBM·굴진·천공 사고보고·기록·중대재해 대응 TBM 작업 전 공유 기록 교육·회의 단계"", ""TBM·굴진·천공 TBM 작업 전 공유 기록 점검 조치 보고 작업 재개 승인 기록 공식 법령 지침 근거 문서 chunk_id"", ""TBM·굴진·천공 TBM 작업 전 공유 기록 공식 법령 지침""]"	[]	기록 근거
